"","X","date","value"
"1",1,1960-01-01,0.71
"2",2,1960-04-01,0.63
"3",3,1960-07-01,0.85
"4",4,1960-10-01,0.44
"5",5,1961-01-01,0.61
"6",6,1961-04-01,0.69
"7",7,1961-07-01,0.92
"8",8,1961-10-01,0.55
"9",9,1962-01-01,0.72
"10",10,1962-04-01,0.77
"11",11,1962-07-01,0.92
"12",12,1962-10-01,0.6
"13",13,1963-01-01,0.83
"14",14,1963-04-01,0.8
"15",15,1963-07-01,1
"16",16,1963-10-01,0.77
"17",17,1964-01-01,0.92
"18",18,1964-04-01,1
"19",19,1964-07-01,1.24
"20",20,1964-10-01,1
"21",21,1965-01-01,1.16
"22",22,1965-04-01,1.3
"23",23,1965-07-01,1.45
"24",24,1965-10-01,1.25
"25",25,1966-01-01,1.26
"26",26,1966-04-01,1.38
"27",27,1966-07-01,1.86
"28",28,1966-10-01,1.56
"29",29,1967-01-01,1.53
"30",30,1967-04-01,1.59
"31",31,1967-07-01,1.83
"32",32,1967-10-01,1.86
"33",33,1968-01-01,1.53
"34",34,1968-04-01,2.07
"35",35,1968-07-01,2.34
"36",36,1968-10-01,2.25
"37",37,1969-01-01,2.16
"38",38,1969-04-01,2.43
"39",39,1969-07-01,2.7
"40",40,1969-10-01,2.25
"41",41,1970-01-01,2.79
"42",42,1970-04-01,3.42
"43",43,1970-07-01,3.69
"44",44,1970-10-01,3.6
"45",45,1971-01-01,3.6
"46",46,1971-04-01,4.32
"47",47,1971-07-01,4.32
"48",48,1971-10-01,4.05
"49",49,1972-01-01,4.86
"50",50,1972-04-01,5.04
"51",51,1972-07-01,5.04
"52",52,1972-10-01,4.41
"53",53,1973-01-01,5.58
"54",54,1973-04-01,5.85
"55",55,1973-07-01,6.57
"56",56,1973-10-01,5.31
"57",57,1974-01-01,6.03
"58",58,1974-04-01,6.39
"59",59,1974-07-01,6.93
"60",60,1974-10-01,5.85
"61",61,1975-01-01,6.93
"62",62,1975-04-01,7.74
"63",63,1975-07-01,7.83
"64",64,1975-10-01,6.12
"65",65,1976-01-01,7.74
"66",66,1976-04-01,8.91
"67",67,1976-07-01,8.28
"68",68,1976-10-01,6.84
"69",69,1977-01-01,9.54
"70",70,1977-04-01,10.26
"71",71,1977-07-01,9.54
"72",72,1977-10-01,8.73
"73",73,1978-01-01,11.88
"74",74,1978-04-01,12.06
"75",75,1978-07-01,12.15
"76",76,1978-10-01,8.91
"77",77,1979-01-01,14.04
"78",78,1979-04-01,12.96
"79",79,1979-07-01,14.85
"80",80,1979-10-01,9.99
"81",81,1980-01-01,16.2
"82",82,1980-04-01,14.67
"83",83,1980-07-01,16.02
"84",84,1980-10-01,11.61
